Year,Semester,Link
2021,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1218/seating_availability.html?subject=ANES
2022,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1224/seating_availability.html?subject=ANES
2022,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1226/seating_availability.html?subject=ANES
2022,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1228/seating_availability.html?subject=ANES
2000,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1004/seating_availability.html?subject=ANTH
2000,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1006/seating_availability.html?subject=ANTH
2000,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1008/seating_availability.html?subject=ANTH
2001,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1014/seating_availability.html?subject=ANTH
2001,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1016/seating_availability.html?subject=ANTH
2001,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1018/seating_availability.html?subject=ANTH
2002,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1024/seating_availability.html?subject=ANTH
2002,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1026/seating_availability.html?subject=ANTH
2002,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1028/seating_availability.html?subject=ANTH
2003,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1034/seating_availability.html?subject=ANTH
2003,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1036/seating_availability.html?subject=ANTH
2003,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1038/seating_availability.html?subject=ANTH
2004,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1044/seating_availability.html?subject=ANTH
2004,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1046/seating_availability.html?subject=ANTH
2004,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1048/seating_availability.html?subject=ANTH
2005,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1054/seating_availability.html?subject=ANTH
2005,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1056/seating_availability.html?subject=ANTH
2005,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1058/seating_availability.html?subject=ANTH
2006,Spring,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1064/seating_availability.html?subject=ANTH
2006,Summer,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1066/seating_availability.html?subject=ANTH
2006,Fall,https://student.apps.utah.edu/uofu/stu/ClassSchedules/main/1068/seating_availability.html?subject=ANTH
